City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
261,Utete,TZ,-7.986,38.758,72.66,96,4,3.53,light rain
262,Alyangula,AU,-13.8483,136.4192,79.77,62,100,3.67,overcast clouds
263,Vyyezdnoye,RU,55.3815,43.7864,41.27,85,75,12.26,broken clouds
264,Denpasar,ID,-8.65,115.2167,77.45,85,94,3.36,overcast clouds
265,Beringovskiy,RU,63.05,179.3167,6.04,85,99,3.83,overcast clouds
266,Rock Sound,BS,24.9,-76.2,79.29,77,70,10.74,broken clouds
267,Lebu,CL,-37.6167,-73.65,58.42,75,57,11.39,broken clouds
268,Bolshoye Selo,RU,57.7177,38.9334,41.36,89,100,13.22,overcast clouds
269,Challans,FR,46.8436,-1.8749,45.52,84,83,8.93,broken clouds
270,Darlowo,PL,54.421,16.4107,39.83,76,95,15.55,overcast clouds
271,Mitu,CO,1.1983,-70.1733,87.46,58,57,2.04,broken clouds
272,Grand Gaube,MU,-20.0064,57.6608,75.38,90,54,5.99,broken clouds
273,Yeniseysk,RU,58.4497,92.1703,32.31,99,100,4.43,snow
274,Deputatskiy,RU,69.3,139.9,-5.04,100,100,3.22,overcast clouds
275,Monjas,GT,14.5,-89.8667,83.1,42,100,10.22,overcast clouds
276,Nederland,US,29.9744,-93.9924,75.24,21,0,19.57,clear sky
277,Caravelas,BR,-17.7125,-39.2481,77.63,79,3,5.66,clear sky
278,Ancud,CL,-41.8697,-73.8203,57.22,66,21,5.95,few clouds
279,Barranca,PE,-10.75,-77.7667,70.39,76,77,8.05,broken clouds
280,Saskylakh,RU,71.9167,114.0833,-13.63,100,99,3.22,overcast clouds
281,Port Lincoln,AU,-34.7333,135.8667,64.49,83,0,10.74,clear sky
282,Kyela,TZ,-9.5833,33.85,70.9,89,6,3.13,clear sky
283,Ponorogo,ID,-7.8685,111.462,73.36,92,30,5.08,scattered clouds
284,Vila Velha,BR,-20.3297,-40.2925,82.35,74,75,5.75,broken clouds
285,Tura,IN,25.5198,90.2201,70.86,72,0,3.6,clear sky
286,Rawson,AR,-43.3002,-65.1023,63.43,69,37,17.2,scattered clouds
287,Namwala,ZM,-15.7504,26.4384,63.86,96,58,5.53,broken clouds
288,Longview,US,32.5007,-94.7405,68.25,20,0,21.85,clear sky
289,Colares,PT,38.7992,-9.4469,61.29,78,75,15.99,broken clouds
290,Poiana Mare,RO,43.9167,23.0667,56.35,68,100,4.18,overcast clouds
291,Beyneu,KZ,45.3167,55.2,59.54,45,62,21.18,broken clouds
292,Flinders,AU,-34.5833,150.8552,67.37,89,71,4.0,broken clouds
293,Hami,CN,42.8,93.45,66.07,18,100,11.32,overcast clouds
294,Imbituba,BR,-28.24,-48.6703,72.82,92,100,8.61,overcast clouds
295,Ilulissat,GL,69.2167,-51.1,15.82,79,75,3.44,broken clouds
296,Christchurch,NZ,-43.5333,172.6333,59.92,82,20,4.0,few clouds
297,Marsabit,KE,2.3284,37.9899,73.29,43,54,10.78,broken clouds
298,Palmer,US,42.1584,-72.3287,61.09,55,64,8.01,broken clouds
299,Port Macquarie,AU,-31.4333,152.9167,66.09,94,75,4.61,broken clouds
300,Saldanha,ZA,-33.0117,17.9442,62.26,61,0,16.55,clear sky
301,Manacapuru,BR,-3.2997,-60.6206,82.74,81,72,4.52,light rain
302,Mao,ES,39.8885,4.2658,57.76,82,0,12.66,clear sky
303,Garowe,SO,8.4054,48.4845,75.9,77,100,10.04,overcast clouds
304,Roald,NO,62.5833,6.1333,37.76,93,75,6.91,broken clouds
305,Jiuquan,CN,39.7432,98.5174,58.75,11,6,7.49,clear sky
306,Iquitos,PE,-3.7481,-73.2472,91.44,58,75,4.61,broken clouds
307,Zyrardow,PL,52.0488,20.446,45.81,100,100,8.72,overcast clouds
308,Talcahuano,CL,-36.7167,-73.1167,60.48,77,0,11.5,clear sky
309,Gijon,ES,43.5357,-5.6615,55.83,85,91,1.01,overcast clouds
310,Dukat,RU,62.55,155.55,8.33,94,86,3.18,overcast clouds
311,Markova,UA,48.6758,24.4138,50.85,74,98,10.38,overcast clouds
312,Portobelo,PA,9.55,-79.65,80.74,91,94,11.43,overcast clouds
313,Iralaya,HN,15.0,-83.2333,82.98,64,100,11.52,overcast clouds
314,Kununurra,AU,-15.7667,128.7333,69.78,83,100,3.44,overcast clouds
